"Unnamed:6" "DAY_OF_MONTH" "source" "target" "ARR_DELAY_NEW" "AIR_TIME" "DISTANCE"
15694 17 12339 12889 0.0 210.0 1590.0
15695 17 11193 12889 0.0 221.0 1678.0
15696 17 12889 11193 0.0 188.0 1678.0
15697 17 12889 13256 0.0 138.0 1210.0
15698 17 13256 12889 0.0 170.0 1210.0
15699 17 12889 14512 0.0 167.0 1455.0
15700 17 14512 12889 0.0 191.0 1455.0
15701 17 12889 14730 0.0 194.0 1624.0
15702 17 14730 12889 0.0 214.0 1624.0
15703 17 12889 12339 206.0 189.0 1590.0
15704 17 12889 14696 0.0 186.0 1594.0
15705 17 14696 12889 0.0 214.0 1594.0
15706 17 12889 13061 0.0 130.0 1092.0
15707 17 13061 12889 0.0 164.0 1092.0
15708 17 12889 10627 28.0 128.0 1048.0
15709 17 10627 12889 30.0 147.0 1048.0
15710 17 12889 10676 10.0 171.0 1400.0
15711 17 10676 12889 0.0 185.0 1400.0
15712 17 13264 12889 1.0 85.0 600.0
15713 17 12889 13264 0.0 79.0 600.0
15714 17 12889 10408 0.0 183.0 1510.0
15715 17 10408 12889 0.0 207.0 1510.0
15716 17 12889 15919 0.0 134.0 1163.0
15717 17 15919 12889 0.0 164.0 1163.0
15718 17 12889 11898 0.0 152.0 1230.0
15719 17 11898 12889 6.0 169.0 1230.0
15720 17 12889 13433 7.0 131.0 1098.0
15721 17 13433 12889 0.0 145.0 1098.0
15722 17 10666 12889 0.0 125.0 954.0
15723 17 12889 10666 0.0 136.0 954.0
15724 17 10666 12889 0.0 125.0 954.0
15725 17 12889 10666 0.0 133.0 954.0
15726 17 12889 11775 7.0 129.0 1104.0
15727 17 11775 12889 0.0 154.0 1104.0
15728 17 12889 14570 11.0 56.0 345.0
15729 17 14570 12889 14.0 56.0 345.0
15730 17 12889 13796 1.0 64.0 407.0
15731 17 13796 12889 0.0 62.0 407.0
15732 17 12889 13244 0.0 167.0 1416.0
15733 17 13244 12889 0.0 196.0 1416.0
15734 17 12889 13256 2.0 145.0 1210.0
15735 17 13256 12889 13.0 176.0 1210.0
15736 17 12889 13367 0.0 161.0 1376.0
15737 17 13367 12889 0.0 188.0 1376.0
15738 17 12889 14716 0.0 52.0 359.0
15739 17 14716 12889 1.0 58.0 359.0
15740 17 12889 14716 0.0 57.0 359.0
15741 17 14716 12889 0.0 58.0 359.0
15742 17 12889 11980 0.0 115.0 971.0
15743 17 11980 12889 17.0 138.0 971.0
15744 17 12889 14457 41.0 121.0 843.0
15745 17 14457 12889 64.0 117.0 843.0
15746 17 12889 10849 0.0 91.0 701.0
15747 17 10849 12889 0.0 99.0 701.0
15748 17 12889 10140 4.0 63.0 486.0
