"source" "target" "weight"
2 1 0436
4 1 0767
8 1 1026
4 2 0515
8 2 0866
5 3 0269
8 3 0843
8 4 0365
26 4 0915
47 4 2109
8 5 0849
7 6 0197
8 6 0683
13 6 0143
8 7 0488
13 7 014
13 8 0604
16 8 0239
23 8 0478
24 8 0414
26 8 083
27 8 0351
28 8 1099
30 8 0596
34 8 0774
35 8 0863
36 8 1093
37 8 1999
38 8 1622
47 8 1926
65 8 204
67 8 3284
112 8 3847
118 8 3655
144 8 2746
201 8 2654
248 8 3059
313 8 3829
10 9 003
11 9 0022
12 9 0037
13 9 0053
11 10 0011
12 10 001
13 10 0023
13 11 0033
13 12 002
14 13 0009
15 13 0011
17 13 006
18 13 0055
19 13 0095
20 13 0112
21 13 0098
22 16 0311
19 17 0038
20 17 0053
20 19 0018
26 22 0281
24 23 01
26 25 0057
29 26 0131
31 26 017
33 26 0322
47 26 1216
35 28 0425
31 29 0125
33 29 0247
47 29 1134
34 30 0184
32 31 0043
33 32 0113
47 33 0895
36 35 0232
38 36 0549
38 37 0478
47 39 013
65 39 0306
142 39 0835
45 40 018
46 40 0167
50 40 0133
55 40 02
61 40 0242
62 40 0377
144 40 0728
53 41 0145
67 41 0522
166 41 0831
47 42 0089
67 43 0364
67 44 0356
46 45 0314
47 45 0244
50 45 0187
54 45 0086
55 45 0299
58 45 0122
59 45 0152
61 45 0302
62 45 049
63 45 037
65 45 0323
67 45 1266
83 45 0393
118 45 1602
142 45 0655
144 45 0712
166 45 0988
201 45 0986
50 46 0149
55 46 009
62 46 0215
63 46 0163
67 46 0958
144 46 0641
48 47 0107
49 47 0154
54 47 0273
56 47 0122
58 47 0288
59 47 0197
60 47 0242
65 47 0178
67 47 1502
74 47 031
75 47 032
83 47 0483
86 47 0555
94 47 1804
109 47 2658
112 47 2046
118 47 1828
123 47 1841
131 47 2139
142 47 0714
144 47 0825
147 47 2535
150 47 2555
152 47 2244
166 47 115
169 47 077
172 47 1606
176 47 2078
177 47 2424
182 47 1826
183 47 0836
197 47 0929
201 47 0938
203 47 0963
219 47 1144
230 47 2408
232 47 2028
245 47 1281
246 47 1301
248 47 1305
253 47 1334
255 47 2336
258 47 1437
261 47 1894
263 47 1429
293 47 216
311 47 2976
313 47 3086
316 47 3074
49 48 0048
65 48 0212
56 49 0087
60 49 0119
55 50 0112
61 50 0123
62 50 0302
63 50 0185
67 50 1082
144 50 0596
166 50 0828
67 51 0267
82 51 0319
118 51 0655
166 51 0796
67 52 0194
67 53 0424
82 53 0367
144 53 0809
166 53 0701
58 54 0036
59 54 0113
60 54 0087
65 54 0301
83 54 0307
61 55 0067
62 55 0191
63 55 0089
144 55 0556
58 56 018
59 56 0078
60 56 0124
65 56 0141
69 57 0198
70 57 0199
71 57 0197
118 57 0435
59 58 0107
60 58 0069
65 58 0294
83 58 0271
60 59 0046
64 59 0057
65 59 0189
83 59 0297
144 59 0638
64 60 0048
65 60 0225
62 61 0201
63 61 007
63 62 0133
67 62 0786
144 62 0511
166 62 0605
67 63 0918
144 63 0479
166 63 0656
65 64 0191
66 65 0068
67 65 1498
74 65 0147
75 65 0143
83 65 0378
87 65 0223
108 65 0307
112 65 2025
116 65 0331
118 65 18
142 65 0572
144 65 0709
151 65 0485
166 65 1059
169 65 06
176 65 2031
183 65 066
197 65 0752
201 65 0761
203 65 0787
219 65 0984
245 65 1109
246 65 1131
248 65 1133
253 65 1163
255 65 2254
258 65 128
261 65 1779
263 65 1259
293 65 2037
87 66 0156
116 66 0271
151 66 0422
71 67 0262
76 67 0508
78 67 01
79 67 0138
82 67 0219
90 67 0258
94 67 0327
95 67 076
99 67 0435
109 67 1156
111 67 0465
112 67 0563
118 67 0388
119 67 1082
120 67 0297
123 67 0406
128 67 0321
131 67 0667
133 67 0368
136 67 1058
144 67 1033
146 67 1061
147 67 105
150 67 1069
152 67 0783
153 67 0829
159 67 0703
161 67 0661
162 67 1033
166 67 077
167 67 0607
172 67 054
174 67 1004
176 67 0708
177 67 0983
179 67 1005
182 67 0604
183 67 1562
189 67 0745
197 67 1629
201 67 1639
203 67 163
217 67 09
219 67 1399
230 67 1115
232 67 0954
233 67 1163
246 67 1617
248 67 1655
253 67 1651
255 67 1163
258 67 1454
261 67 1162
263 67 1685
274 67 1518
292 67 1431
293 67 1428
296 67 146
299 67 1685
301 67 1705
307 67 1847
310 67 1917
311 67 1939
313 67 3992
80 68 0134
96 68 0223
109 68 0259
118 68 1008
125 68 0323
147 68 0478
71 69 0084
73 69 0077
118 69 0283
112 70 0267
118 70 0289
73 71 003
77 71 0053
90 71 0143
111 71 0252
112 71 0326
118 71 024
96 72 0171
118 72 0788
146 72 0355
147 72 0365
152 72 0523
162 72 0452
177 72 0572
77 73 0026
90 73 0115
94 73 0129
118 73 022
75 74 0106
116 74 0203
201 74 0637
87 75 0085
108 75 0168
116 75 0202
151 75 0348
166 75 1021
201 75 0622
82 76 0325
98 76 0204
118 76 0797
142 76 0717
144 76 0551
94 77 0104
118 77 0195
79 78 0063
118 78 0298
118 79 025
101 80 0198
