source target weight
0 130 1.14
0 168 0.9
0 8 2.34
1 67 1.48
1 5 0.66
1 49 0.9
2 165 0.51
2 9 2.82
2 9 1.09
3 151 1.09
3 116 0.86
3 133 0.71
4 92 0.93
4 62 0.57
4 193 0.37
5 73 0.91
5 152 0.36
5 97 1.19
6 109 0.56
6 103 1.23
6 39 1.32
7 13 1.41
7 45 1.42
7 159 0.8
8 189 0.6
8 154 2.03
8 115 0.68
9 163 0.49
9 43 1.43
9 56 1.01
10 107 0.92
10 75 0.27
10 67 0.96
11 153 1.23
11 74 2.44
11 198 0.95
12 83 1.13
12 200 0.68
12 3 0.81
13 195 1.84
13 104 0.58
13 166 1.48
14 188 1.7
14 53 0.63
14 92 1.15
15 104 1.22
15 92 1.32
15 62 0.56
16 67 0.47
16 184 0.38
16 47 0.96
17 199 0.64
17 188 0.89
17 34 1.71
18 93 0.73
18 48 0.49
18 142 1.85
19 33 0.53
19 46 0.49
19 200 1.0
20 20 1.38
20 126 1.2
20 14 2.26
21 39 0.32
21 196 0.63
21 68 1.29
22 16 1.02
22 118 1.2
22 63 0.49
23 146 1.86
23 179 0.71
23 120 0.83
24 56 1.15
24 175 0.83
24 133 2.09
25 98 0.79
25 28 1.71
25 42 0.94
26 198 1.2
26 78 1.68
26 31 1.05
27 83 0.52
27 150 0.77
27 21 0.52
28 81 1.52
28 187 1.44
28 41 1.39
29 21 1.15
29 21 0.63
29 1 0.69
30 113 0.91
30 181 0.59
30 115 0.93
31 76 1.2
31 28 1.34
31 53 0.52
32 190 1.15
32 144 0.66
32 36 1.16
33 75 0.27
33 57 1.54
33 72 0.65
34 157 0.91
34 194 1.07
34 157 0.79
35 72 2.01
35 178 1.22
35 150 0.68
36 49 1.58
36 33 0.88
36 188 0.28
37 47 0.79
37 116 0.87
37 107 0.54
38 123 1.0
38 136 0.71
38 187 1.5
39 74 0.5
39 107 1.33
39 118 1.91
40 111 1.98
40 28 1.13
40 175 1.08
41 141 1.91
41 188 0.94
41 26 0.98
42 80 0.92
42 195 1.07
42 187 0.65
43 160 0.9
43 21 0.69
43 162 0.66
44 177 0.42
44 170 1.07
44 5 0.84
45 31 1.17
45 33 0.93
45 174 0.77
46 140 0.68
46 68 0.67
46 4 2.09
47 113 0.94
47 77 1.52
47 35 4.31
48 7 0.99
48 161 1.09
48 152 1.22
49 27 0.54
49 9 1.64
49 29 2.25
50 129 1.78
50 13 0.93
50 196 0.62
51 132 1.25
51 187 1.0
51 149 1.05
52 24 1.2
52 139 0.95
52 14 1.87
53 134 0.96
53 164 1.18
53 83 1.21
54 67 0.91
54 32 0.73
54 12 1.04
55 110 0.68
55 13 1.27
55 125 0.75
56 84 1.26
56 100 2.2
56 65 1.21
57 195 1.12
57 85 0.53
57 84 3.17
58 198 0.56
58 136 1.58
58 102 1.34
59 114 0.76
59 97 0.91
59 97 1.09
60 37 1.38
60 28 0.33
60 132 0.88
61 162 1.95
61 96 0.99
61 161 2.14
62 176 0.49
62 90 0.41
62 21 0.52
63 110 0.74
63 190 1.93
63 17 2.03
64 150 0.85
64 96 2.84
64 135 0.99
65 192 0.63
65 182 0.75
65 181 0.59
66 78 2.06
66 161 0.64
66 165 1.41
67 45 1.44
67 101 0.99
67 138 0.55
68 96 1.16
68 117 1.21
68 19 0.67
69 93 0.75
69 24 3.87
69 94 1.03
70 109 0.7
70 154 0.96
70 9 1.12
71 186 2.21
71 67 0.69
71 10 1.27
72 88 1.4
72 183 1.99
72 144 0.47
73 125 1.71
73 172 0.66
73 58 0.81
74 107 1.89
74 84 0.92
74 190 2.64
75 119 1.6
75 120 0.78
75 55 0.81
76 184 0.63
76 100 1.69
76 109 0.8
77 157 0.7
77 171 1.26
77 66 0.46
78 113 1.23
78 125 0.93
78 135 0.63
79 163 0.31
79 16 0.89
79 153 1.41
80 170 0.77
80 24 0.91
80 137 0.98
81 36 1.86
81 138 1.41
81 79 0.9
82 177 1.6
82 66 1.72
82 44 0.54
83 121 2.68
83 84 0.44
83 102 0.66
84 74 2.88
84 69 0.54
84 104 0.39
85 87 0.81
85 67 0.42
85 11 1.89
86 146 1.36
86 16 0.76
86 18 0.87
87 166 1.16
