source target weight
0 324 0.48
0 362 0.19
0 338 0.9
1 63 0.86
1 428 1.86
1 312 0.67
2 350 0.88
2 43 0.9
2 271 0.69
3 375 2.36
3 203 1.03
3 89 1.18
4 188 1.31
4 211 0.63
4 428 0.88
5 275 0.66
5 200 0.45
5 266 1.36
6 498 1.56
6 157 0.53
6 115 1.29
7 149 0.91
7 146 0.99
7 14 1.44
8 301 0.82
8 382 0.71
8 33 2.42
9 120 1.38
9 460 1.24
9 20 1.32
10 93 0.82
10 443 1.03
10 161 0.58
11 436 1.73
11 268 0.32
11 339 0.86
12 39 0.48
12 377 0.66
12 27 0.73
13 160 2.74
13 350 1.38
13 259 2.05
14 257 1.03
14 400 0.61
14 378 0.97
15 333 0.71
15 328 3.09
15 498 0.42
16 279 1.14
16 270 0.42
16 131 1.01
17 158 0.64
17 165 1.64
17 110 1.36
18 473 0.63
18 200 0.84
18 271 0.75
19 102 0.88
19 336 1.28
19 389 1.17
20 148 0.49
20 313 0.75
20 16 1.76
21 493 1.01
21 203 0.63
21 299 0.68
22 164 1.89
22 472 1.6
22 207 0.72
23 402 1.25
23 214 1.13
23 163 2.77
24 305 3.14
24 490 1.3
24 314 1.46
25 59 1.52
25 232 1.2
25 25 0.48
26 490 1.84
26 54 1.46
26 356 0.9
27 404 0.66
27 491 2.32
27 59 0.69
28 275 2.5
28 95 0.62
28 5 0.63
29 149 1.63
29 215 0.97
29 121 0.76
30 303 0.46
30 99 0.95
30 58 1.48
31 385 0.61
31 106 1.01
31 72 1.45
32 45 0.76
32 234 0.57
32 98 1.55
33 216 1.29
33 241 1.17
33 391 1.92
34 389 0.68
34 415 0.89
34 13 0.54
35 13 0.61
35 65 0.63
35 23 0.75
36 409 1.03
36 254 0.51
36 291 1.43
37 143 1.34
37 392 0.91
37 365 0.67
38 308 0.81
38 237 1.65
38 480 0.51
39 446 0.76
39 482 0.88
39 142 1.72
40 237 0.97
40 336 1.39
40 61 1.73
41 261 1.26
41 320 0.39
41 450 0.62
42 183 0.53
42 298 1.81
42 273 1.39
43 56 0.91
43 197 2.83
43 368 0.41
44 282 0.58
44 72 0.71
44 131 1.19
45 376 0.83
45 175 1.18
45 294 0.92
46 5 1.41
46 258 0.95
46 438 0.69
47 418 1.04
47 334 1.56
47 36 1.38
48 261 0.54
48 156 0.32
48 390 0.56
49 477 0.59
49 268 1.22
49 194 0.89
50 339 0.83
50 125 0.91
50 388 2.49
51 389 0.35
51 443 0.43
51 271 1.5
52 126 1.15
52 33 0.57
52 9 0.79
53 265 0.47
53 329 1.23
53 114 0.69
54 326 0.87
54 472 1.07
54 151 1.47
55 112 1.51
55 337 0.69
55 377 3.18
56 270 0.97
56 116 0.95
56 463 1.71
57 280 0.98
57 468 0.97
57 399 0.54
58 394 0.79
58 457 0.56
58 414 0.45
59 127 0.66
59 121 1.55
59 148 0.79
60 476 0.65
60 361 0.61
60 182 2.09
61 77 0.96
61 248 0.61
61 429 0.98
62 427 0.76
62 14 1.19
62 11 1.06
63 390 0.53
63 6 1.24
63 440 0.98
64 138 1.04
64 298 0.49
64 84 1.93
65 241 1.16
65 24 1.07
65 38 1.29
66 49 0.95
66 228 1.18
66 371 0.85
67 277 0.95
67 437 2.3
67 281 1.87
68 463 1.61
68 80 1.17
68 133 0.79
69 324 0.86
69 34 0.53
69 177 0.68
70 239 1.07
70 400 1.51
70 196 1.1
71 169 0.84
71 240 1.81
71 459 1.68
72 167 1.6
72 16 0.59
72 135 0.9
73 470 0.8
73 437 0.54
73 192 1.16
74 220 1.58
74 149 2.51
74 56 2.03
75 7 0.95
75 399 1.24
75 492 0.76
76 25 1.33
76 464 0.76
76 36 0.33
77 492 1.06
77 362 0.28
77 352 1.17
78 9 0.84
78 471 1.29
78 281 0.65
79 155 1.4
79 368 0.65
79 377 0.5
80 438 1.03
80 288 2.04
80 477 1.14
81 265 0.95
81 370 1.0
81 162 0.92
82 224 2.86
82 317 1.25
82 207 0.97
83 76 1.97
83 168 1.4
83 85 2.01
84 466 0.86
84 97 3.72
84 13 0.82
85 128 1.07
85 393 1.37
85 473 1.04
86 259 1.53
86 441 1.05
86 219 1.25
87 318 0.73
87 203 0.72
87 161 1.35
88 113 0.45
88 243 1.12
88 480 0.6
89 106 1.47
89 124 0.89
89 236 1.61
90 204 1.9
90 384 1.0
90 242 0.95
91 379 0.77
91 138 1.31
91 278 2.72
92 110 1.12
92 34 0.54
92 449 0.66
93 323 0.76
93 375 0.59
93 211 1.34
94 341 0.71
94 76 0.77
94 196 2.25
95 121 1.51
95 300 0.75
95 46 0.64
96 427 0.97
96 193 0.83
96 235 1.52
97 159 1.08
97 386 0.69
97 95 0.89
98 75 0.65
98 15 1.28
98 407 0.63
99 196 2.48
99 298 1.9
99 481 1.69
100 330 0.6
100 398 1.71
100 264 0.36
101 274 1.42
101 164 1.21
101 146 1.36
102 348 1.44
102 433 1.38
102 386 0.64
103 135 1.15
103 360 2.38
103 101 0.75
104 298 2.89
104 356 1.58
104 224 0.59
105 205 0.72
105 202 1.44
105 392 0.78
106 337 0.73
106 126 2.99
106 487 2.23
107 274 0.87
107 85 0.68
107 323 1.54
108 464 1.99
108 292 1.11
108 366 2.36
109 22 0.79
109 240 0.69
109 287 1.12
110 141 0.87
110 37 1.32
110 308 0.91
111 119 0.82
111 42 1.36
111 156 0.7
112 261 2.71
112 152 0.42
112 92 1.02
113 213 1.01
113 91 0.99
113 372 0.69
114 209 0.79
114 496 1.1
114 113 1.22
115 86 2.39
115 295 2.69
115 216 1.09
116 96 0.48
116 227 1.22
116 419 0.87
117 403 0.34
117 211 0.86
117 327 1.73
118 162 0.58
118 136 1.11
118 247 0.53
119 67 0.28
119 133 0.63
119 263 1.18
120 71 0.6
120 422 1.25
120 126 0.35
121 395 2.29
121 483 1.54
121 24 0.87
122 195 1.94
122 135 0.99
122 492 0.99
123 88 1.43
123 371 0.47
123 32 1.02
124 53 0.41
124 14 0.71
124 180 1.59
125 207 0.91
125 412 0.51
125 377 0.9
126 88 0.53
126 361 1.01
126 440 0.72
127 62 1.22
127 267 0.61
127 62 0.41
128 207 1.15
128 425 0.47
128 426 0.65
129 258 0.49
129 232 1.07
129 357 0.75
130 10 1.57
130 265 1.37
130 287 0.7
131 15 1.77
131 310 1.83
131 121 1.25
132 306 0.76
132 244 0.42
132 238 0.61
133 42 0.76
133 467 0.67
133 62 1.18
134 486 0.89
134 455 1.43
134 345 0.64
135 261 0.85
135 475 0.76
135 175 0.57
136 387 0.71
136 312 0.54
136 417 0.93
137 143 1.37
137 4 1.35
137 481 0.94
138 172 1.07
138 442 2.12
138 322 0.84
139 302 0.57
139 208 2.14
139 169 0.54
140 232 0.74
140 336 0.68
140 366 0.82
141 253 0.53
141 62 1.32
141 391 1.13
142 47 0.9
142 61 1.2
142 403 1.74
143 413 1.9
143 496 1.21
143 177 0.9
144 352 2.0
144 392 0.61
144 462 1.04
145 354 2.16
145 281 0.5
145 396 0.96
146 370 0.84
146 257 0.63
146 311 2.34
147 266 1.2
147 234 1.23
147 162 1.13
148 150 1.14
148 488 1.56
148 230 0.51
149 250 1.22
149 356 1.12
149 390 0.72
150 66 0.36
150 294 0.99
150 249 2.68
151 472 0.54
151 354 0.57
151 339 0.63
152 428 0.98
152 147 0.96
152 451 1.52
153 257 0.66
153 281 1.54
153 431 1.05
154 452 0.88
154 295 2.66
154 198 0.97
155 388 1.53
155 199 0.58
155 444 0.6
156 286 1.14
156 476 1.02
156 64 0.41
157 203 0.66
157 284 0.86
157 42 1.11
158 83 0.53
158 88 0.52
158 385 0.79
159 302 0.91
159 312 2.74
159 125 1.12
160 21 0.43
160 391 0.45
160 447 1.39
161 399 0.76
161 467 1.5
161 308 1.75
162 319 1.44
162 85 2.89
162 176 1.6
163 399 1.14
163 15 0.99
163 320 0.78
164 490 1.09
164 228 0.94
164 202 1.17
165 15 1.75
165 391 1.28
165 9 0.88
166 155 0.85
166 355 1.38
166 373 1.03
167 207 2.15
167 270 0.84
167 87 0.98
168 366 1.3
168 170 0.9
168 275 1.32
169 357 1.16
169 11 1.21
169 399 1.4
170 300 1.0
170 387 1.1
170 298 1.3
171 39 1.37
171 190 1.22
171 142 0.71
172 168 1.63
172 134 1.26
172 345 3.16
173 279 1.23
173 2 0.36
173 352 0.8
174 305 0.59
174 357 1.27
174 434 1.22
175 106 0.82
175 201 0.57
175 244 1.04
176 351 1.61
176 5 2.02
176 327 2.03
177 218 1.2
177 203 0.86
177 212 1.68
178 96 2.26
178 404 0.75
178 213 0.93
179 71 1.37
179 173 0.73
179 227 1.07
180 483 0.46
180 340 0.39
180 185 0.92
181 181 0.99
181 120 1.71
181 492 0.53
182 432 0.93
182 339 0.7
182 238 0.71
183 413 1.08
183 136 1.03
183 266 1.08
184 493 0.99
184 318 1.2
184 167 0.65
185 70 0.99
185 320 0.85
185 151 0.94
186 278 1.45
186 159 1.12
186 365 0.52
187 236 2.53
187 291 0.89
187 91 1.58
188 306 0.71
188 233 2.08
188 426 0.81
189 411 0.81
189 40 0.34
189 403 0.49
190 76 0.92
190 133 0.54
190 16 0.93
191 242 0.24
191 415 1.51
191 271 0.28
192 205 0.87
192 5 0.42
192 283 0.82
193 368 0.45
193 39 0.66
193 126 0.35
194 153 0.59
194 140 1.75
194 280 0.74
195 285 0.9
195 410 0.79
195 172 0.63
196 484 1.25
196 401 1.09
196 86 1.62
197 361 1.76
197 319 1.22
197 68 0.67
198 182 1.59
198 466 1.49
198 358 1.76
199 475 0.6
199 411 0.72
199 491 1.01
200 322 1.52
200 146 2.55
200 334 2.13
201 292 0.97
201 140 1.16
201 61 0.89
202 251 0.59
202 140 0.52
202 77 2.22
203 437 1.44
203 230 0.85
203 376 1.88
204 357 1.58
204 181 0.59
204 222 1.28
205 490 0.87
205 383 1.46
205 7 0.52
206 304 0.97
206 245 1.69
206 268 1.55
207 301 1.11
207 64 0.55
207 39 1.28
208 50 1.3
208 399 0.83
208 323 0.87
209 260 1.1
209 187 0.8
209 101 1.4
210 433 0.73
210 194 1.88
210 499 1.44
211 439 1.19
211 351 1.8
211 286 0.93
212 488 1.4
212 431 0.62
212 300 1.01
213 14 0.76
213 49 0.5
213 362 1.24
214 154 1.22
214 183 1.07
214 361 0.83
215 75 1.21
215 338 0.78
215 500 1.22
216 39 1.22
216 117 1.31
216 130 0.97
217 302 1.09
217 483 0.75
217 27 1.51
218 166 1.04
218 468 1.18
218 404 0.72
219 314 0.55
219 426 0.8
219 415 1.84
220 52 1.06
220 329 0.62
220 120 0.84
221 275 2.24
221 351 1.44
221 200 0.63
222 338 0.59
222 108 1.18
222 365 0.54
223 412 0.38
223 70 0.57
223 102 1.14
224 298 1.57
224 56 1.59
224 239 0.98
225 11 0.78
225 46 0.73
225 140 1.08
226 144 1.18
226 375 0.72
226 257 0.41
227 317 1.17
227 364 1.14
227 438 2.52
228 158 0.55
228 489 0.86
228 337 1.68
229 27 0.67
229 381 0.73
229 494 1.73
230 231 1.97
230 386 2.43
230 81 1.33
231 156 0.7
231 405 0.54
231 453 1.41
232 477 1.54
232 224 0.99
232 11 1.07
233 445 0.68
233 146 0.94
233 27 1.03
234 17 0.75
234 124 0.65
